sourceurl,sqldate,title,scrape_status,in_zambia_confidence,mining_related_confidence,impact_confidence,impact_evidence,mine_name,region,mineral_type,mining_company,impact_level1,impact_level2,impact_level3
http://www.msn.com/en-us/news/world/glencore-seals-zambia-copper-sale-but-must-wait-for-the-cash/ar-BB1cST1b,20200120,MSN,wayback_ok,0.99,0.99,0.9,"Social | Livelihoods & Economy | Employment creation and job security -> ""Despite the challenges, the operations are a vital employer for Zambia."" | ""The government's strategy is driven by a need to safeguard jobs at the site."" || Social | Livelihoods & Economy | Unemployment risks post-closure -> ""Musukwa said Tuesday that the plans to shutter the mine would have led to 15,000 workers being laid off and sent home."" || Governance | Regulation, Compliance & Institutions | Mining permitting and licensing practices -> ""Glencore shelved its plans to place the operations under care and maintenance last year after Zambia threatened to revoke its mining license in April.""",Mopani Copper Mines Plc,Copperbelt Province,copper,Glencore,Social || Social || Governance,"Livelihoods & Economy || Livelihoods & Economy || Regulation, Compliance & Institutions",Employment creation and job security || Unemployment risks post-closure || Mining permitting and licensing practices
http://www.proactiveinvestors.com/companies/news/938468/jubilee-metals-earnings-soar-as-platinum-and-chrome-recoveries-hit-record-levels-938468.html,20210120,"Jubilee Metals earnings soar as platinum and chrome recoveries hit record levels | AIM:JLP, JSE:JBL, OTC:JUBPF",live_ok_trafilatura,0.98,0.99,0.9,"Environmental | Land, Soil & Geology | Tailings generation and management -> ""PGM and chrome tailings recovery operations ran at record levels."" | ""the processing of surface tailings in the country""",Sable Refinery,,copper,Jubilee Metals Group,Environmental,"Land, Soil & Geology",Tailings generation and management
https://actionaid.org/news/2021/actionaid-zambia-mining-companies-must-not-be-allowed-pollute-impunity,20210119,ActionAid Zambia: Mining companies must not be allowed to pollute with impunity | ActionAid International,live_ok_trafilatura,0.99,0.99,0.9,"Environmental | Water Resources | Surface water pollution and quality degradation -> ""the community's main water source has been polluted for more than a decade by toxic run-off from the Konkola Copper Mine (KCM)."" | ""Konkola Copper Mines – a subsidiary of the UK-based mining giant Vedanta – has been polluting the main water source of surrounding villages in Chingola, in Zambia's Copperbelt Province,"" || Environmental | Water Resources | Groundwater contamination -> ""Pollution from the mine has contaminated the local water table."" || Environmental | Water Resources | Freshwater ecotoxicity (heavy metals, pH changes, sensitive species) -> ""Toxins are killing off crops, livestock and the vegetation surrounding the river, destroying the livelihoods of local people who depended on farming and fishing to support their families."" || Environmental | Land, Soil & Geology | Topsoil degradation and loss of soil fertility -> ""The pollution has affected the fertility of the soil"" | ""Even though the land is no longer fertile, we try our best to grow as much as we can, so we can sustain our lives and our family's."" || Environmental | Air & Climate | Air quality degradation (dust, diesel exhaust, blasting emissions) -> """"If you go to the mine right now, you will find that they are still releasing the chemical slurry into the stream,"" she says. ""And when you pass by the steam, the fumes are suffocatingly strong and that is an indication that the mine is operating."""" || Environmental | Biodiversity & Ecosystems | Impacts on aquatic ecosystems and life below water -> ""Toxins are killing off crops, livestock and the vegetation surrounding the river, destroying the livelihoods of local people who depended on farming and fishing to support their families."" | ""The copper mine in Nchanga has been contaminating the local water supply and polluting farmland since 2004."" || Social | Health, Safety & Well-being | Community exposure to dust, noise, pollution -> ""This is causing adults to suffer from upset stomachs and skin irritations."" | ""the water is not safe for human consumption and that the community is advised not to drink from the stream."" || Social | Health, Safety & Well-being | Accidents and fatalities (including structural failures such as tailings dams) -> """"We are always ill,"" she says. ""Many children have died."" | """"The child's physical health immediately starts to change, and you would even find that the child [could] die."""" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""Toxins are killing off crops, livestock and the vegetation surrounding the river, destroying the livelihoods of local people who depended on farming and fishing to support their families."" | ""Brenda says families are struggling to pay school fees for their children: ""This pollution has destroyed so many things."""" || Social | Living Conditions & Social Fabric | Livability (cost of living, food security, communication services) -> ""Women and children are most affected as they are forced to walk long distances making 10km round trips in search of clean water."" | ""The older and disabled people unable to walk so far, get sick from drinking the polluted water."" || Social | Living Conditions & Social Fabric | Social infrastructure and amenities (education, healthcare, public services, leisure) -> ""Brenda says families are struggling to pay school fees for their children: ""This pollution has destroyed so many things. There is no point where we can say we are ok. Things are getting worse. We are also failing to educate our children."""" || Governance | Regulation, Compliance & Institutions | Enforcement of environmental and social regulations -> ""Mining companies often avoid paying corporation tax in Zambia and are not being held accountable to national environmental laws."" | ""They must no longer be allowed to act with impunity."" || Governance | Transparency & Accountability | Accountability for accidents and environmental damage -> ""Communities in Chingola have been fighting for justice and compensation for the human rights abuses and environmental destruction they have suffered for over a decade."" | ""A legal action, brought by more than 2,500 Zambian villagers, including 643 children, against Konkola Copper Mines Plc and Vedanta Resources Limited, has settled out of court""",Konkola Copper Mine (KCM),"Chingola, Copperbelt Province",copper,Konkola Copper Mines Plc,Environmental || Environmental || Environmental || Environmental || Environmental || Environmental || Social || Social || Social || Social || Social || Governance || Governance,"Water Resources || Water Resources || Water Resources || Land, Soil & Geology || Air & Climate || Biodiversity & Ecosystems || Health, Safety & Well-being || Health, Safety & Well-being || Livelihoods & Economy || Living Conditions & Social Fabric || Living Conditions & Social Fabric || Regulation, Compliance & Institutions || Transparency & Accountability","Surface water pollution and quality degradation || Groundwater contamination || Freshwater ecotoxicity (heavy metals, pH changes, sensitive species) || Topsoil degradation and loss of soil fertility || Air quality degradation (dust, diesel exhaust, blasting emissions) || Impacts on aquatic ecosystems and life below water || Community exposure to dust, noise, pollution || Accidents and fatalities (including structural failures such as tailings dams) || Income generation and poverty reduction or exacerbation || Livability (cost of living, food security, communication services) || Social infrastructure and amenities (education, healthcare, public services, leisure) || Enforcement of environmental and social regulations || Accountability for accidents and environmental damage"
https://allafrica.com/stories/202101080158.html,20210108,,wayback_ok,0.95,0.9,0.75,"Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""played an integral role in stimulating the economy of the two Southern African Development Community (SADC) countries, particularly in freight business."" | ""the hinterland country that is blessed with a lot of copper for export to the global market."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""the involvement of the private Open Access Operator in the transportation of cargo on the TAZARA line so far had contributed to a substantial diversion of freight traffic away from the roads and, therefore, aided in slowing down the deterioration of the roads in both countries."" | ""Open Access Fees paid by Calabash Freight Ltd, the private operator plying on the TAZARA line."" | ""the Board directed the Authority to contract more private operators in the transportation of freight traffic on the TAZARA line through Open Access.""",,Kapiri Mposhi,copper,,Social || Social,Livelihoods & Economy || Livelihoods & Economy,"Income generation and poverty reduction or exacerbation || Business opportunities (local supply chains, services)"
https://diggers.news/business/2021/01/21/weve-sold-49-of-kcm-smelter-to-recapitalise-operations-musukwa/,20210121,We've sold 49% of KCM Smelter to recapitalise operations – Musukwa – Zambia: News Diggers!,live_ok_newspaper,1.0,0.99,0.9,"Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""The 49 per cent has been sold to ensure that we get resources to recapitalise the operations and give it a fresh injection. The challenges that we liquidated at KCM was as a result of indebtedness and failure to recaptilise. This is what we have done to bring in resources to recapitalise and also do with various issues of debt for contractors and suppliers. Because we are restructuring the company in order to start on a new plate, we have to deal with the issues of terminal benefits for the workers. We are paying in phases because as and when we are paid from this process we'll also pay the workers. There is no money that is somewhere, which we can just go and lift and pay, no! That's the process,""",KCM Smelter,,copper,Konkola Copper Mines,Social,Livelihoods & Economy,Income generation and poverty reduction or exacerbation
https://diggers.news/local/2021/01/21/govt-will-be-forced-to-compensate-vedanta-sichinga/,20210121,Govt will be forced to compensate Vedanta – Sichinga – Zambia: News Diggers!,live_ok_newspaper,0.95,0.95,0.85,"Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""would mean Zambia would eventually lose out in terms of tax payers' money being spent in compensation similar the Lap GreenN fiasco after government was forced to pay the Libyan firm compensatory damages back in 2012."" || Governance | Reputation & Social License | Mining image and public perception -> ""And Sichinga warned that Zambia risked denting its image as an investment destination if the controversial issue was not properly handled."" || Governance | Transparency & Accountability | Anti-corruption and bribery risks -> ""They have already done another deal, which gives them financial benefits individually as persons. So, now, it's an issue of saying, 'I must get that money.' So, they are ignoring all the legal requirements and provisions that are there.""",Konkola Copper Mines,Lusaka,copper,Vedanta Resources Limited,Governance || Governance || Governance,"Regulation, Compliance & Institutions || Reputation & Social License || Transparency & Accountability",Legislative and regulatory framework effectiveness || Mining image and public perception || Anti-corruption and bribery risks
https://leaderpost.com/pmn/business-pmn/cash-strapped-zambia-takes-on-1-5-bln-debt-to-buy-glencore-copper-mine,20210120,Cash-strapped Zambia takes on $1.5 bln debt to buy Glencore copper mine | Regina Leader Post,live_ok_trafilatura,1.0,1.0,0.9,"Social | Livelihoods & Economy | Employment creation and job security -> ""More than 15,000 workers would have lost their jobs if the mine was closed, Mines Minister Richard Musukwa said."" || Governance | Regulation, Compliance & Institutions | Mining permitting and licensing practices -> ""The sale follows Glencore's attempt to suspend operations at Mopani last year because of low copper prices and COVID-19 disruptions, prompting a government threat to revoke the company's mining licenses.""",Mopani Copper Mines,copper belt,copper,Glencore,Social || Governance,"Livelihoods & Economy || Regulation, Compliance & Institutions",Employment creation and job security || Mining permitting and licensing practices
https://www.africanews.com/2021/01/19/vedanta-to-compensate-zambian-villagers-for-polluting-their-water/,20210119,Vedanta to compensate Zambian villagers for polluting their water | Africanews,live_ok_trafilatura,1.0,1.0,0.9,"Environmental | Water Resources | Surface water pollution and quality degradation -> ""effluent from its Nchanga Copper Mine was responsible for polluting water sources and land."" || Social | Health, Safety & Well-being | Mental and physical health impacts on communities -> ""the toxic discharge affected the health of people living in nearby villages"" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""the toxic discharge affected the health of people living in nearby villages, as well as farming and fishing activities — their primary source of income.""",Nchanga Copper Mine,central Copperbelt region,copper,Konkola Copper Mines,Environmental || Social || Social,"Water Resources || Health, Safety & Well-being || Livelihoods & Economy",Surface water pollution and quality degradation || Mental and physical health impacts on communities || Income generation and poverty reduction or exacerbation
https://www.biznews.com/briefs/2021/01/19/glencore-sells-mopani-copper,20200120,Glencore sells Mopani to Zambian govt with $1 in hand,live_ok_trafilatura,0.99,0.99,0.8,"Social | Livelihoods & Economy | Employment creation and job security -> ""the operations are a vital employer for Zambia."" || Social | Livelihoods & Economy | Unemployment risks post-closure -> ""the plans to shutter the mine would have led to 15,000 workers being laid off and sent home."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""That will be repaid from sales and profits going forward."" || Governance | Regulation, Compliance & Institutions | Mining permitting and licensing practices -> ""Zambia threatened to revoke its mining license in April.""",Mopani Copper Mines,Copperbelt Province,copper,Glencore,Social || Social || Social || Governance,"Livelihoods & Economy || Livelihoods & Economy || Livelihoods & Economy || Regulation, Compliance & Institutions",Employment creation and job security || Unemployment risks post-closure || Income generation and poverty reduction or exacerbation || Mining permitting and licensing practices
https://www.business-humanrights.org/de/neuste-meldungen/afrewatch-urges-committee-rights-child-investigate-lead-poisoning-claims-against-anglo-american-kabwe-zambia-lawsuit/,20210115,"AFREWATCH urges the Committee on the Rights of the Child to investigate lead poisoning claims against Anglo American in Kabwe, Zambia, lawsuit - Business and Human Rights Centre",live_ok_trafilatura,0.95,0.95,0.85,"Social | Health, Safety & Well-being | Community exposure to dust, noise, pollution -> ""owing to toxic pollution emanating from the lead mine previously controlled by Anglo American South Africa Limited"" | ""AFREWATCH Implores the United Nations CRC to Urge Anglo American to Take Responsibility for Children Poisoned by the World's Biggest Toxic Lead Mine"" || Social | Health, Safety & Well-being | Mental and physical health impacts on communities -> ""According to the letter, the situation in Kabwe represents a violation of rights to health and development – one of the founding principles of Article 6 of the UN Convention on the Rights of the Child."" | ""AFREWATCH Implores the United Nations CRC to Urge Anglo American to Take Responsibility for Children Poisoned by the World's Biggest Toxic Lead Mine"" | ""the lives of countless children are at serious risk – including the risk of death."" || Governance | Transparency & Accountability | Accountability for accidents and environmental damage -> ""The failure by Anglo American to take action to address the ongoing damage to the health and environment of the Kabwe communities does not accord with its publicly-stated commitments."" | ""AFREWATCH implores the CRC to: - Closely investigate the allegations made against Anglo American by the claimants of the class action lawsuit; and - To urge Anglo American to act consistently with its publicly stated human rights commitments as a business."" || Environmental | Biodiversity & Ecosystems | Impacts on terrestrial ecotoxicity -> ""owing to toxic pollution emanating from the lead mine previously controlled by Anglo American South Africa Limited"" | ""Children in Kabwe, Zambia Face Serious and Ongoing Violations to Article 6 of the UN Convention on the Rights of the Child""",,Kabwe,lead,Anglo American,Social || Social || Governance || Environmental,"Health, Safety & Well-being || Health, Safety & Well-being || Transparency & Accountability || Biodiversity & Ecosystems","Community exposure to dust, noise, pollution || Mental and physical health impacts on communities || Accountability for accidents and environmental damage || Impacts on terrestrial ecotoxicity"
