sourceurl,sqldate,title,scrape_status,in_zambia_confidence,mining_related_confidence,impact_confidence,impact_evidence,mine_name,region,mineral_type,mining_company,impact_level1,impact_level2,impact_level3
https://english.news.cn/africa/20240709/df93b85768764de49eb332b99b72130f/c.html,20240709,Zambia plans to introduce diesel-generated electricity to address power deficit-Xinhua,live_ok_trafilatura,1.0,0.8,0.8,"Social | Living Conditions & Social Fabric | Livability (cost of living, food security, communication services) -> ""He said the government is aware that diesel-generated power will be expensive and is talking with mining firms about how the power could be generated and bought at an optimal tariff."" || Governance | Stakeholder Engagement & Rights | Stakeholder inclusion in decision-making -> ""The Zambian government said on Tuesday that it is in talks with mining firms to introduce diesel-generated electricity as an alternative energy source to address the current power deficit.""",,,,,Social || Governance,Living Conditions & Social Fabric || Stakeholder Engagement & Rights,"Livability (cost of living, food security, communication services) || Stakeholder inclusion in decision-making"
https://finance.yahoo.com/news/vedanta-set-regain-control-zambia-085629587.html,20240701,Vedanta set to regain control of Zambia copper asset,live_ok_trafilatura,0.99,0.99,0.85,"Governance | Regulation, Compliance & Institutions | Mining permitting and licensing practices -> ""The previous Zambian government had placed Konkola Copper Mines (KCM) into provisional liquidation, alleging misrepresentation of expansion plans and insufficient tax payments by Vedanta."" || Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""The court ruling, delivered in Lusaka, sanctions a plan to settle the debts owed to the mine's creditors, paving the way for Vedanta to reclaim the asset."" | ""To regain access to the mine, Vedanta is required to adhere to the court's directive by disbursing $250m ($197.22m) to clear KCM's outstanding debts to contractors and suppliers.""",Konkola copper project,Chililabombwe,copper,Vedanta Resources,Governance || Governance,"Regulation, Compliance & Institutions || Regulation, Compliance & Institutions",Mining permitting and licensing practices || Legislative and regulatory framework effectiveness
https://newatlas.com/automotive/hitachi-ultra-large-battery-dump-truck/,20240627,World first ultra-large battery dump truck charges continuously on the move,live_ok_trafilatura,0.95,0.95,0.9,"Environmental | Air & Climate | Greenhouse gas emissions (GHGs) -> """"would cut diesel emissions out of the picture completely"""" | """"that will reduce emissions in mining for many years to come."""" || Environmental | Air & Climate | Fossil fuel consumption -> """"would cut diesel emissions out of the picture completely"""" | """"a battery electric rigid-frame version would cut diesel emissions out of the picture completely"""" || Environmental | Air & Climate | Clean/renewable energy integration (mitigation-related impact) -> """"which is particularly attractive for mining in Zambia as some 92% of the country's energy needs are met by renewables."""" | """"the partnership expects the truck to be capable of continuous operation thanks to the existing network of overhead charging lines""""",Kansanshi,,copper/gold,First Quantum Minerals,Environmental || Environmental || Environmental,Air & Climate || Air & Climate || Air & Climate,Greenhouse gas emissions (GHGs) || Fossil fuel consumption || Clean/renewable energy integration (mitigation-related impact)
https://www.business-standard.com/economy/news/india-plans-geological-mapping-and-mineral-exploration-in-zambia-124070700354_1.html,20240607,,live_ok_newspaper,0.95,0.95,0.8,"Social | Livelihoods & Economy | Human capital development (skills, training, workforce development) -> """"GSI has offered support to Zambia in geological and structural mapping and training and capacity building as sought by the Government of Zambia,"" the ministry said in the statement."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""Through geological mapping and mineral exploration in Zambia, India seeks to gain a better understanding of the country's resources, secure access to critical minerals, diversify its supply chain, boost domestic industries, and strengthen bilateral ties, the official explained.""",,,"Lithium, Cobalt, Copper",,Social || Social,Livelihoods & Economy || Livelihoods & Economy,"Human capital development (skills, training, workforce development) || Business opportunities (local supply chains, services)"
https://www.cnbcafrica.com/2024/critical-moment/,20240709,Critical Moment - CNBC Africa,live_ok_trafilatura,0.95,0.95,0.8,"Social | Livelihoods & Economy | Unemployment risks post-closure -> ""Several auxiliary and mining related companies no longer operate there because the two biggest mines in the region have not been operating at their optimum."" || Social | Living Conditions & Social Fabric | Livability (cost of living, food security, communication services) -> ""If you visit Zambia's 'old' Copperbelt today, you'll see how the region has regressed over the last 5 years."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""Private investors, including original equipment manufacturers (OEMs), are now coming closer to the mineral production areas and investing in growing the value chain closer to the source."" || Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""The sector needs a stable tax regime, for example, as mining remains a long-term business."" | ""In the past, the national economy's heavy reliance on mining – and particularly copper mining – meant that the government tended to push its tax demands onto the mining sector in order to raise more revenue."" || Governance | Regulation, Compliance & Institutions | Mining permitting and licensing practices -> ""more and more of these value addition requirements are becoming conditions for allowing investment in the local mining sector."" || Environmental | Air & Climate | Clean/renewable energy integration (mitigation-related impact) -> ""So there's a huge focus on energy right now – especially renewable energy."" || Environmental | Air & Climate | Energy demand and consumption -> ""To reach these ambitious production targets, you need power.""",Lumwana Mine,Copperbelt,copper,Barrick Gold,Social || Social || Social || Governance || Governance || Environmental || Environmental,"Livelihoods & Economy || Living Conditions & Social Fabric || Livelihoods & Economy || Regulation, Compliance & Institutions || Regulation, Compliance & Institutions || Air & Climate || Air & Climate","Unemployment risks post-closure || Livability (cost of living, food security, communication services) || Business opportunities (local supply chains, services) || Legislative and regulatory framework effectiveness || Mining permitting and licensing practices || Clean/renewable energy integration (mitigation-related impact) || Energy demand and consumption"
https://www.cnbcafrica.com/media/6357378435112/tackling-zambias-power-crisis-/,20240710,Tackling Zambia's power crisis - CNBC Africa,live_ok_trafilatura,1.0,0.9,0.8,"Environmental | Air & Climate | Clean/renewable energy integration (mitigation-related impact) -> ""To tackle the crisis, Zambia is working with various international partners to develop new energy projects, including agreements with Indian and Dubai-based consortiums for solar power generation, the doubling of production at a local co-fired plant, and collaborations with the private sector for initiatives like a 400-megawatt solar and wind energy project in the mining sector.""",,,,,Environmental,Air & Climate,Clean/renewable energy integration (mitigation-related impact)
https://www.globalconstructionreview.com/angola-hatches-plan-for-southern-african-power-grid/,20240704,Angola hatches plan for southern African power grid - Global Construction Review,live_ok_trafilatura,0.95,0.9,0.8,"Environmental | Air & Climate | Energy demand and consumption -> ""We see that the demand for power is significantly increasing across the Copperbelt region where mining activities are growing and are being supported by the logistics provided by the Lobito Atlantic Railway."" || Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""Trafigura noted in a press statement that the electricity would be purchased from Angola's National Electricity Transmission Network and sold to customers such as global mining companies in the Copperbelt, as well as other consumers in the DRC and Zambia."" | ""As such, it was well placed to ""work with its existing customer base to conclude long-term energy supply agreements""."" || Environmental | Air & Climate | Clean/renewable energy integration (mitigation-related impact) -> ""to carry surplus electricity produced by hydroelectric dams in northern Angola to the Copperbelt of the Democratic Republic of Congo (DRC) and Zambia"" | ""we can contribute unequivocally to the creation of wealth and growth of our economies through the commercialisation of clean energy.""",,Copperbelt,,,Environmental || Social || Environmental,Air & Climate || Livelihoods & Economy || Air & Climate,"Energy demand and consumption || Business opportunities (local supply chains, services) || Clean/renewable energy integration (mitigation-related impact)"
https://www.hindustantimes.com/business/vedanta-resources-gets-control-of-zambian-copper-mine-to-capitalise-on-future-copper-demand-for-ai-and-evs-101719672886811.html,20240629,Vedanta Resources gets control of Zambian copper mine to capitalise on future copper demand for AI and EVs| Business News,live_ok_trafilatura,0.98,0.98,0.7,"Governance | Transparency & Accountability | Corporate transparency and reporting -> ""Konkola Copper Mines was put into provisional liquidation in 2019 after the previous Zambian government accused its owner of lying about expansion plans and paying too little tax, according to the report."" || Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""This comes after a Zambian court sanctioned a plan to settle the $250 million debts owed to the mine's creditors, which Vedanta Resources, billionaire Anil Agarwal's firm is ready to pay."" | ""Konkola Copper Mines was put into provisional liquidation in 2019 after the previous Zambian government accused its owner of lying about expansion plans and paying too little tax, according to the report."" || Governance | Reputation & Social License | Mining image and public perception -> ""Konkola Copper Mines was put into provisional liquidation in 2019 after the previous Zambian government accused its owner of lying about expansion plans and paying too little tax, according to the report.""",Konkola Copper Mines,,copper,Vedanta Resources,Governance || Governance || Governance,"Transparency & Accountability || Regulation, Compliance & Institutions || Reputation & Social License",Corporate transparency and reporting || Legislative and regulatory framework effectiveness || Mining image and public perception
https://www.investegate.co.uk:443/announcement/rns/firering-strategic-minerals-di---frg/notice-of-agm/8302830,20240710,Notice of AGM | Company Announcement | Investegate,live_ok_trafilatura,0.95,0.95,0.9,"Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""Firering Strategic Minerals plc is a resource company listed on AIM, set to commence commissioning its significant quicklime project in Zambia in Q4 2024 to produce 600-800 tonnes of quicklime per day along with ancillary products."" | ""the project is strategically positioned to support the expanding copper producers in the Zambian Copper Belt, which are currently reliant on imported quicklime from South Africa.""",quicklime project,Zambian Copper Belt,quicklime,Firering Strategic Minerals plc,Social,Livelihoods & Economy,"Business opportunities (local supply chains, services)"
https://www.jckonline.com/editorial-article/faberge-gemfields-malaika-egg/,20240702,Fabergé x Gemfields Malaika Egg Is an Angelic Art Object for Ruby Lovers - JCK,live_ok_trafilatura,0.8,0.95,0.85,"Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""Fabergé has pledged $100,000 from the sale to the Gemfields Foundation, which funds poverty-alleviating projects in communities around Gemfields' mines in Mozambique and Zambia, and more widely in sub-Saharan Africa.""",,,ruby,Gemfields,Social,Livelihoods & Economy,Income generation and poverty reduction or exacerbation
