sourceurl,sqldate,title,scrape_status,in_zambia_confidence,mining_related_confidence,impact_confidence,impact_evidence,mine_name,region,mineral_type,mining_company,impact_level1,impact_level2,impact_level3
http://jordantimes.com/opinion/zuneid-yousuf/african-opportunity-post-brexit-britain,20190124,An African opportunity for post-Brexit Britain | Jordan Times,live_ok_trafilatura,0.98,0.95,0.6,"Social | Livelihoods & Economy | Business opportunities (local supply chains, services) -> ""Now, African countries are increasingly taking advantage of their strengths, commodities and agriculture, to spur the development of broader business sectors, diversify agriculture and attract foreign direct investment."" | ""I am hardly alone. Globalisation is part of why, last year, six of the world's 10 fastest-growing economies were in sub-Saharan Africa."" | ""I ... transform a modest Zambian family business into a diverse multinational company, the MBI Group, that is active across three continents in the mining, energy, agriculture, fast-moving consumer goods and soft-drink industries.""",,Lusaka,copper,MBI Group,Social,Livelihoods & Economy,"Business opportunities (local supply chains, services)"
http://news.trust.org/item/20190115165027-rca4i,20190115,,wayback_ok,0.99,0.99,0.9,"Environmental | Water Resources | Surface water pollution and quality degradation -> ""The villagers allege their land and livelihood have been destroyed by water pollution caused by the Nchanga Copper Mine, owned by Vedanta through its subsidiary Konkola Copper Mines."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""The villagers allege their land and livelihood have been destroyed by water pollution caused by the Nchanga Copper Mine, owned by Vedanta through its subsidiary Konkola Copper Mines."" || Social | Health, Safety & Well-being | Community exposure to dust, noise, pollution -> ""India-listed Vedanta, which delisted from London last year but maintains a legal base in Britain, is appealing a lower court ruling that a case in which villagers alleged their land was polluted by a Vedanta unit could be heard in England."" | ""Outside the court, action group Foil Vedanta was among those protesting against what they allege is pollution by Vedanta.""",Nchanga Copper Mine,Copperbelt,copper,Konkola Copper Mines,Environmental || Social || Social,"Water Resources || Livelihoods & Economy || Health, Safety & Well-being","Surface water pollution and quality degradation || Income generation and poverty reduction or exacerbation || Community exposure to dust, noise, pollution"
http://www.china.org.cn/world/Off_the_Wire/2019-01/15/content_74375581.htm,20190116,Zambia VP calls for probe into deportation of Russian miner - China.org.cn,live_ok_trafilatura,0.95,0.95,0.85,"Social | Health, Safety & Well-being | Worker health and safety risks -> ""He told local media that he was abducted from the mine premises by foreign security guards employed by the mine, and bundled into a vehicle which drove him to the airport."" || Governance | Reputation & Social License | Trust between mining companies, government, and communities -> ""Wina said that security divisions should investigate the whole matter as it is a scandal and has potential to undermine the security of the country"" | ""He told local media that he was abducted from the mine premises by foreign security guards employed by the mine"" || Governance | Regulation, Compliance & Institutions | Enforcement of environmental and social regulations -> ""Zambian Vice President Inonge Wina on Monday called on security divisions to thoroughly investigate the kidnapping and deportation of a Russian gemstone miner in Copperbelt Province."" | ""Wina said that security divisions should investigate the whole matter as it is a scandal and has potential to undermine the security of the country""",Gemcanton Emerald Mine,"Lufwanyama district, Copperbelt Province",emerald,,Social || Governance || Governance,"Health, Safety & Well-being || Reputation & Social License || Regulation, Compliance & Institutions","Worker health and safety risks || Trust between mining companies, government, and communities || Enforcement of environmental and social regulations"
http://www.chroniclejournal.com/business/national_business/barrick-explores-sale-of-zambian-copper-mine-as-government-looks/article_7bcebc8b-6a8a-5564-9f9e-21ff215df62e.html,20190122,,wayback_ok,0.99,0.98,0.85,"Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""Barrick Gold Corp. says it's exploring all options including the possible sale of its Lumwana mine in Zambia as the government considers increased taxes."" | """"The proposed changes to taxes and royalties would imperil the mine's ability to sustain returns to all stakeholders,"" he said in a statement Monday."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> """"The proposed changes to taxes and royalties would imperil the mine's ability to sustain returns to all stakeholders,"" he said in a statement Monday."" | ""First Quantum Minerals Ltd., which operates the Kansanshi and Sentinel copper mines in Zambia, said last September that it faces increased tax rates and reduced deductions that would add about 1.8 per cent to its all-in sustaining costs in the country.""",Lumwana,,copper,Barrick Gold Corp.,Governance || Social,"Regulation, Compliance & Institutions || Livelihoods & Economy",Legislative and regulatory framework effectiveness || Income generation and poverty reduction or exacerbation
http://www.daily-mail.co.zm/lubambe-deserves-commendation/,20190111,,wayback_ok,1.0,1.0,0.9,"Social | Livelihoods & Economy | Unemployment risks post-closure -> ""The measures have seen mining companies hitting back saying they will shed off as many as 21,000 jobs and cut or withhold US$500 million in capital spending over the next three years."" || Social | Livelihoods & Economy | Employment creation and job security -> ""management has made it a policy to incorporate the workforce in its strategic plans."" | ""Lubambe Copper Mines (LCM) in Chililabombwe projects to increase its copper production by about 60 percent this year."" || Governance | Transparency & Accountability | Corporate transparency and reporting -> ""The investigating report concluded that the reported numbers from the company were in doubt. It was found that the company had not paid income tax for a good number of years but had only paid royalty fees."" || Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""In the 2019 budget, Government has introduced a 1.5 percentage point increase on all mineral royalty tax bands, and an additional two royalty bands of 8.5 and 10 percent when the copper price exceeds US$7,500 and US$9,000 per tonne respectively. Further, mineral royalties will cease to be deductible from corporate income tax."" || Governance | Reputation & Social License | Social license to operate -> ""The feeling is that they try so much to hold us to ransom; rushing to cutting jobs every time new mining legislation is passed meant to get more from the mines.""",Lubambe Copper Mines,Chililabombwe,copper,Lubambe Copper Mines,Social || Social || Governance || Governance || Governance,"Livelihoods & Economy || Livelihoods & Economy || Transparency & Accountability || Regulation, Compliance & Institutions || Reputation & Social License",Unemployment risks post-closure || Employment creation and job security || Corporate transparency and reporting || Legislative and regulatory framework effectiveness || Social license to operate
http://www.defenceweb.co.za/industry/industry-industry/zambia-miners-end-strikes-after-big-pay-rise/,20190120,Zambia miners end strikes after big pay rise - DefenceWeb,live_ok_trafilatura,0.95,0.98,0.9,"Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""All the workers today went back to work. The lowest paid worker will now get a basic pay of 2 million kwacha per month, which is almost double what they used to get,"" Mine Workers Union of Zambia acting president Charles Mukuka said."" || Governance | Stakeholder Engagement & Rights | Conflict management between companies and communities -> ""Another 500 workers at the Chinese-owned Sino Metals copper processing plant also went on strike demanding higher pay, prompting the government to intervene."" || Governance | Reputation & Social License | Social license to operate -> ""In his first official meeting as president, Sata saw Chinese ambassador Zhou Yuxiao in an effort to dispel fears his sometimes fierce anti-Chinese rhetoric while in opposition would translate into a shift in investment policy.""",NFC Africa Mining,,copper,China Nonferrous Metals Mining Corporation,Social || Governance || Governance,Livelihoods & Economy || Stakeholder Engagement & Rights || Reputation & Social License,Income generation and poverty reduction or exacerbation || Conflict management between companies and communities || Social license to operate
http://www.faceofmalawi.com/2019/01/three-young-miners-buried-alive-in-zambia/,20190121,Three Young Miners buried Alive in Zambia – Face of Malawi,live_ok_trafilatura,0.95,0.95,0.9,"Social | Health, Safety & Well-being | Accidents and fatalities (including structural failures such as tailings dams) -> ""Three Young Miners have died while one has escaped unhurt in a mine accident which happened at Fipe area at Shinkole village in Senior Chief Mwewa's area."" | ""The three young died as they were mining Manganese minerals around 14:00 hours."" || Social | Equity, Rights & Vulnerable Groups | Child labor and forced labor risks -> ""The three young died as they were mining Manganese minerals around 14:00 hours."" | ""The three young died ... Felix Kalembe aged 11 years, a grade two pupil, Stainslous Kope aged 15 years of Chamalawa village , and and Kelvin Kope aged 13 all pupils at Chamalawa primary school.""",,Fipe area at Shinkole village in Senior Chief Mwewa’s area,manganese,,Social || Social,"Health, Safety & Well-being || Equity, Rights & Vulnerable Groups",Accidents and fatalities (including structural failures such as tailings dams) || Child labor and forced labor risks
http://www.mining.com/first-quantum-calls-off-massive-job-cuts-zambia/,20190123,,live_ok_trafilatura,0.99,0.99,0.9,"Social | Livelihoods & Economy | Employment creation and job security -> ""Canada's First Quantum Minerals (TSX:FM) has scrapped plans to lay off 2,500 workers in Zambia"" | """"First Quantum will not now proceed with the planned lay-off of any Zambians involved in its production activities,"""" | ""The layoffs had been expected to affect 1,250 employees at the Kansanshi mine in Solwezi and 1,250 at the Sentinel operation at Kalumbila."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""First Quantum accounted for more than half of the country's copper output, and is the largest individual taxpayer."" | ""Mining operations in Zambia, in turn, account for 84% of the Canadian miner's revenue."" || Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""Zambia, Africa's second-largest copper producer, increased this year its sliding scale for royalties of 4% to 6% by 1.5 percentage points, and introduced a new 10% tax when the price of copper exceeds $7,500 per tonne."" | ""The nation also plans to replace value-added tax with a sales tax by April to help bring down mounting public debt."" || Governance | Stakeholder Engagement & Rights | Stakeholder inclusion in decision-making -> ""has scrapped plans to lay off 2,500 workers in Zambia over an increase in mining taxes, and has committed to extend talks with the southern African nation's government over the issue.""",Kansanshi; Sentinel,Solwezi; Kalumbila,copper,First Quantum Minerals,Social || Social || Governance || Governance,"Livelihoods & Economy || Livelihoods & Economy || Regulation, Compliance & Institutions || Stakeholder Engagement & Rights",Employment creation and job security || Income generation and poverty reduction or exacerbation || Legislative and regulatory framework effectiveness || Stakeholder inclusion in decision-making
http://www.mining.com/web/copper-five-things-look-2019/,20190123,,live_ok_trafilatura,0.98,0.99,0.8,"Governance | Regulation, Compliance & Institutions | Legislative and regulatory framework effectiveness -> ""There are also ongoing concerns over the impact of the new tax policy in Zambia.""",Sentinel; Nchanga,Copperbelt,copper,First Quantum; KCM,Governance,"Regulation, Compliance & Institutions",Legislative and regulatory framework effectiveness
http://www.mining.com/web/vedanta-tells-top-english-court-pollution-case-heard-zambia/,20190116,,live_ok_trafilatura,0.99,0.99,0.95,"Environmental | Water Resources | Surface water pollution and quality degradation -> ""The villagers allege their land and livelihood have been destroyed by water pollution caused by the Nchanga Copper Mine, owned by Vedanta through its subsidiary Konkola Copper Mines."" || Social | Livelihoods & Economy | Income generation and poverty reduction or exacerbation -> ""The villagers allege their land and livelihood have been destroyed by water pollution caused by the Nchanga Copper Mine, owned by Vedanta through its subsidiary Konkola Copper Mines."" || Social | Health, Safety & Well-being | Community exposure to dust, noise, pollution -> ""The villagers allege their land and livelihood have been destroyed by water pollution caused by the Nchanga Copper Mine, owned by Vedanta through its subsidiary Konkola Copper Mines.""",Nchanga Copper Mine,Copperbelt,copper,Konkola Copper Mines,Environmental || Social || Social,"Water Resources || Livelihoods & Economy || Health, Safety & Well-being","Surface water pollution and quality degradation || Income generation and poverty reduction or exacerbation || Community exposure to dust, noise, pollution"
